Time elapsed for reading surface mesh: 0.562278
Time elapsed for curvature and narrow region assessment: 4.90483
Number of unbalanced nodes: 56
Number of unbalanced nodes: 0
Time elapsed for octree generation (strongly balanced): 19.8685
Time elapsed for constructing octree: 25.3804
Time elapsed for generating dual mesh: 2.38169
Time elapsed for extracting interior dual mesh: 7.94421
badElem: 0 aveDist: 0.000379488 maxDist: 0.0247896 maxDistIdx: 3994
badElem: 4 aveDist: 0.000333554 maxDist: 0.0220379 maxDistIdx: 3940
badElem: 1 aveDist: 0.000284968 maxDist: 0.0188791 maxDistIdx: 3940
badElem: 4 aveDist: 0.000235469 maxDist: 0.0161863 maxDistIdx: 3994
badElem: 0 aveDist: 0.000196455 maxDist: 0.0143753 maxDistIdx: 3994
badElem: 4 aveDist: 0.000153937 maxDist: 0.0125177 maxDistIdx: 3994
badElem: 0 aveDist: 0.000117043 maxDist: 0.0119574 maxDistIdx: 3994
badElem: 0 aveDist: 0.000101736 maxDist: 0.0106217 maxDistIdx: 3994
badElem: 1 aveDist: 7.46241e-05 maxDist: 0.00859178 maxDistIdx: 3993
badElem: 1 aveDist: 5.74804e-05 maxDist: 0.00849863 maxDistIdx: 4194
badElem: 1 aveDist: 4.47772e-05 maxDist: 0.007989 maxDistIdx: 4194
badElem: 4 aveDist: 3.30197e-05 maxDist: 0.00748151 maxDistIdx: 3993
badElem: 5 aveDist: 2.87265e-05 maxDist: 0.00581292 maxDistIdx: 3993
badElem: 0 aveDist: 2.2447e-05 maxDist: 0.00546603 maxDistIdx: 4194
badElem: 1 aveDist: 2.31077e-05 maxDist: 0.00566842 maxDistIdx: 3993
badElem: 4 aveDist: 1.59132e-05 maxDist: 0.00466086 maxDistIdx: 4194
badElem: 0 aveDist: 1.57003e-05 maxDist: 0.0043158 maxDistIdx: 4194
badElem: 0 aveDist: 1.34616e-05 maxDist: 0.00345429 maxDistIdx: 3993
badElem: 0 aveDist: 1.21226e-05 maxDist: 0.00314226 maxDistIdx: 4194
badElem: 0 aveDist: 9.2432e-06 maxDist: 0.00322176 maxDistIdx: 4194
badElem: 0 aveDist: 7.67684e-06 maxDist: 0.00215732 maxDistIdx: 4194
badElem: 0 aveDist: 6.51014e-06 maxDist: 0.00174448 maxDistIdx: 4194
badElem: 0 aveDist: 5.47407e-06 maxDist: 0.00187902 maxDistIdx: 4212
badElem: 3 aveDist: 3.77594e-06 maxDist: 0.00126656 maxDistIdx: 4194
badElem: 0 aveDist: 4.64836e-06 maxDist: 0.0016715 maxDistIdx: 4194
badElem: 3 aveDist: 2.40279e-06 maxDist: 0.000915078 maxDistIdx: 4345
badElem: 0 aveDist: 2.93863e-06 maxDist: 0.00105967 maxDistIdx: 4194
badElem: 0 aveDist: 3.97512e-06 maxDist: 0.00170748 maxDistIdx: 4212
badElem: 0 aveDist: 2.64437e-06 maxDist: 0.000987668 maxDistIdx: 4194
badElem: 0 aveDist: 2.31986e-06 maxDist: 0.00121346 maxDistIdx: 4212
badElem: 0 aveDist: 2.54564e-06 maxDist: 0.00102918 maxDistIdx: 4212
badElem: 0 aveDist: 2.26948e-06 maxDist: 0.00120088 maxDistIdx: 4194
badElem: 0 aveDist: 1.37865e-06 maxDist: 0.000546079 maxDistIdx: 4194
badElem: 0 aveDist: 8.07386e-07 maxDist: 0.000382587 maxDistIdx: 4194
badElem: 0 aveDist: 9.03792e-07 maxDist: 0.000434669 maxDistIdx: 4194
badElem: 0 aveDist: 1.3078e-06 maxDist: 0.000553602 maxDistIdx: 4194
badElem: 0 aveDist: 1.92099e-06 maxDist: 0.0014168 maxDistIdx: 4194
badElem: 0 aveDist: 9.12073e-07 maxDist: 0.000625693 maxDistIdx: 4194
badElem: 3 aveDist: 1.36511e-06 maxDist: 0.00104254 maxDistIdx: 4205
